fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
34001,Atlantic,135774,111152,151,151,Released separately AFTER election night,97,140441,97%,97% reported,edison,10,unknown,,14118,,,71420,61568,1724,531,435,96,59095,50082,1167,404,332,72,2020-12-07T23:30:00Z,7.25618,D+7,Booker +7,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34003,Bergen,483623,417177,561,561,Merged into voters' home precincts AFTER election night,97,497460,97%,97% reported,edison,10,some,,45653,,,280054,195193,3584,2816,1703,273,244619,165903,2675,2358,1349,273,2020-12-07T23:30:06Z,17.54693,D+18,Booker +18,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34005,Burlington,255732,198907,365,365,Merged into voters' home precincts and released with cumulative results,97,262650,97%,97% reported,edison,10,some,,31397,,,150160,102136,1000,1768,482,186,122088,74541,666,1220,305,87,2020-12-07T21:49:07Z,18.77903,D+19,Booker +19,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34007,Camden,261641,0,345,345,Released separately AFTER election night,99,265599,99%,99% reported,edison,10,unknown,,59568,,,173335,85406,728,1677,295,200,0,0,0,0,0,0,2020-12-02T15:47:12Z,33.60674,D+34,Booker +34,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34009,Cape May,55262,47415,127,127,Merged into voters' home precincts and released with cumulative results,95,57933,95%,95% reported,edison,10,unknown,,9231,,,22952,31317,399,413,133,48,20209,26468,288,323,88,39,2020-12-07T23:29:34Z,15.13698,R+15,Mehta +15,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
34011,Cumberland,60779,17100,92,92,Released separately AFTER election night,97,62575,97%,97% reported,edison,10,unknown,,5984,,,31992,26626,1407,398,297,59,10821,5797,279,97,94,12,2020-12-07T23:29:39Z,8.82871,D+9,Booker +9,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34013,Essex,335069,0,550,550,Released as a separate subtotal as first report of the night,97,345311,97%,97% reported,edison,10,unknown,,24131,,,260604,69750,1842,2417,456,0,0,0,0,0,0,0,2020-12-07T23:28:42Z,56.95961,D+57,Booker +57,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34015,Gloucester,170114,146750,229,229,Merged into voters' home precincts and released with cumulative results,98,173453,98%,98% reported,edison,10,unknown,,25391,,,85489,80943,952,2249,286,195,75604,68245,715,1809,226,151,2020-12-07T23:30:12Z,2.67233,D+3,Booker +3,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34017,Hudson,240223,0,454,454,Released as a separate subtotal as first report of the night,96,250458,96%,96% reported,edison,10,some,,14745,,,176658,56917,3848,1879,811,110,0,0,0,0,0,0,2020-12-07T23:29:44Z,49.84577,D+50,Booker +50,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34019,Hunterdon,82867,71243,116,116,Released as a separate subtotal as first report of the night,98,84673,98%,98% reported,edison,10,some,,13401,,,36728,43951,391,1470,180,147,32877,36658,296,1151,138,123,2020-11-24T13:24:30Z,8.71638,R+9,Mehta +9,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
34021,Mercer,172679,0,243,243,None,97,177223,97%,97% reported,edison,10,unknown,,21542,,,117821,52248,1059,1210,258,83,0,0,0,0,0,0,2020-12-07T23:28:46Z,37.97393,D+38,Booker +38,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34023,Middlesex,366310,0,615,615,Other,98,375692,98%,98% reported,edison,10,unknown,,56703,,,221802,135398,3114,3595,2018,383,0,0,0,0,0,0,2020-12-07T23:30:19Z,23.58767,D+24,Booker +24,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34025,Monmouth,372398,0,511,511,Merged into voters' home precincts and released with cumulative results,98,378390,98%,98% reported,edison,10,some,,47571,,,173609,191700,1690,4472,883,44,0,0,0,0,0,0,2020-11-24T13:24:31Z,4.85797,R+5,Mehta +5,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
34027,Morris,291231,0,396,396,Merged into voters' home precincts and released with cumulative results,97,300917,97%,97% reported,edison,10,unknown,,33525,,,146148,141373,1150,1751,552,257,0,0,0,0,0,0,2020-12-07T23:30:44Z,1.63959,D+1.6,Booker +1.6,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34029,Ocean,329669,260531,413,413,Released as a separate subtotal as first report of the night,96,342746,96%,96% reported,edison,10,some,,43803,,,116036,207751,2207,2769,525,381,96301,160141,1508,1938,376,267,2020-12-07T23:30:29Z,27.82033,R+28,Mehta +28,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
34031,Passaic,218758,109504,284,284,None,98,224330,98%,98% reported,edison,10,unknown,,17333,,,131195,80827,3105,2550,938,143,67838,39132,1037,1062,371,64,2020-12-07T23:29:51Z,23.02453,D+23,Booker +23,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34033,Salem,33587,0,45,45,None,99,34042,99%,99% reported,edison,10,some,,3501,,,14515,17910,410,522,179,51,0,0,0,0,0,0,2020-12-02T16:36:27Z,10.10808,R+10,Mehta +10,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
34035,Somerset,183966,0,265,265,Released as a separate subtotal as first report of the night,98,186891,98%,98% reported,edison,10,some,,24227,,,105681,75622,657,1610,253,143,0,0,0,0,0,0,2020-12-07T21:59:12Z,16.33943,D+16,Booker +16,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34037,Sussex,86510,75184,119,119,Merged into voters' home precincts and released with cumulative results,98,88352,98%,98% reported,edison,10,some,,9122,,,33919,49885,632,1650,243,181,30271,42755,482,1336,196,144,2021-03-11T21:26:01Z,18.45567,R+18,Mehta +18,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
34039,Union,247866,120577,431,431,Merged into voters' home precincts and released with cumulative results,98,254041,98%,98% reported,edison,10,unknown,,25247,,,166997,76677,1913,1582,519,178,86793,32261,612,641,195,75,2021-03-11T21:23:15Z,36.43904,D+36,Booker +36,democrat,bookerc,new-jersey,2021-05-09T06:35:46.673084Z
34041,Warren,59726,52262,22,22,Merged into voters' home precincts and released with cumulative results,98,61057,98%,98% reported,edison,10,some,,7469,,,24124,33893,478,959,186,86,21563,29305,370,797,155,72,2020-12-07T22:13:03Z,16.35636,R+16,Mehta +16,republican,mehtar,new-jersey,2021-05-09T06:35:46.673084Z
