fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
47001,Anderson,34547,23147,27,27,Released as a precinct as first report of the night,97,35570,97%,97% reported,edison,10,all,,24252,,,22988,10820,198,103,82,75,61,58,55,54,53,15660,7100,109,59,34,41,36,29,23,27,29,2020-12-16T18:44:32Z,35.22158,R+35,Hagerty +35,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47003,Bedford,18153,0,11,11,Released as a separate subtotal as first report of the night,95,19088,95%,95% reported,edison,10,all,,10626,,,13920,3808,69,50,65,63,32,26,36,29,55,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:14:54Z,55.70429,R+56,Hagerty +56,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47005,Benton,6983,0,6,6,Merged into voters' home precincts and released with cumulative results,96,7260,96%,96% reported,edison,10,all,,4922,,,5462,1338,32,13,19,24,8,17,17,7,46,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:15:21Z,59.05771,R+59,Hagerty +59,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47007,Bledsoe,5473,0,12,12,None,95,5758,95%,95% reported,edison,10,unknown,,1711,,,4460,898,22,2,17,19,13,7,6,17,12,0,0,0,0,0,0,0,0,0,0,0,2020-12-03T03:09:23Z,65.08314,R+65,Hagerty +65,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47009,Blount,64678,49547,31,31,Merged into voters' home precincts and released with cumulative results,97,66609,97%,97% reported,edison,10,all,,40960,,,47391,15950,148,263,91,221,39,96,191,60,228,35329,13303,98,179,62,152,25,67,129,39,164,2020-12-16T15:16:00Z,48.61158,R+49,Hagerty +49,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47011,Bradley,44143,34052,17,17,Released as a separate subtotal as first report of the night,96,45865,96%,96% reported,edison,10,all,,30918,,,34262,8716,229,143,118,111,283,61,57,64,99,26290,6984,149,94,76,73,208,32,40,39,67,2020-12-16T15:17:10Z,57.87101,R+58,Hagerty +58,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47013,Campbell,14067,0,20,20,Released as a separate subtotal as first report of the night,94,14933,94%,94% reported,edison,10,unknown,,7473,,,11610,2173,32,24,18,60,12,29,40,11,58,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:02:55Z,67.08609,R+67,Hagerty +67,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47015,Cannon,6160,2485,9,9,Released as a precinct as first report of the night,94,6557,94%,94% reported,edison,10,unknown,,2997,,,4904,1105,25,19,27,24,8,11,6,14,17,1964,448,14,8,15,12,4,5,0,7,8,2020-12-03T03:11:47Z,61.67208,R+62,Hagerty +62,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47017,Carroll,11440,7579,19,19,Released as a separate subtotal as first report of the night,96,11905,96%,96% reported,edison,10,all,,6252,,,8899,2286,59,18,26,44,15,23,20,17,33,5742,1686,30,8,15,28,8,18,12,13,19,2021-03-06T23:05:33Z,57.80594,R+58,Hagerty +58,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47019,Carter,23234,11932,22,22,Released as a precinct as first report of the night,95,24492,95%,95% reported,edison,10,unknown,,13611,,,18593,4127,133,68,65,57,39,32,48,40,32,8943,2737,65,36,31,29,22,14,22,19,14,2021-03-06T23:02:28Z,62.2622,R+62,Hagerty +62,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47021,Cheatham,19522,15906,8,8,Released as a separate subtotal as first report of the night,96,20260,96%,96% reported,edison,10,unknown,,12907,,,14094,4959,129,65,51,42,18,25,28,35,76,11228,4331,100,46,35,32,13,20,21,26,54,2021-03-06T23:03:31Z,46.79336,R+47,Hagerty +47,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47023,Chester,7418,0,11,11,Released as a separate subtotal as first report of the night,98,7584,98%,98% reported,edison,10,all,,4605,,,5951,1305,27,8,28,14,15,5,7,37,21,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:22:34Z,62.63144,R+63,Hagerty +63,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47025,Claiborne,12298,0,16,16,Released as a separate subtotal as first report of the night,95,12945,95%,95% reported,edison,10,all,,6758,,,10116,1962,42,24,29,27,25,9,17,19,28,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T15:23:02Z,66.30346,R+66,Hagerty +66,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47027,Clay,3225,0,7,7,Released as a separate subtotal as first report of the night,92,3506,92%,92% reported,edison,10,unknown,,1984,,,2525,616,14,5,14,14,5,6,7,3,16,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:03:52Z,59.1938,R+59,Hagerty +59,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47029,Cocke,13908,0,19,19,Other,94,14859,94%,94% reported,edison,10,unknown,,8249,,,11284,2227,73,32,50,44,39,31,30,18,80,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:02:30Z,65.12079,R+65,Hagerty +65,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47031,Coffee,23671,16727,23,23,Released as a separate subtotal as first report of the night,97,24282,97%,97% reported,edison,10,all,,13744,,,17607,5215,181,56,128,100,58,31,47,159,89,12092,4124,109,30,85,61,41,11,28,92,54,2020-12-16T15:24:04Z,52.35098,R+52,Hagerty +52,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47033,Crockett,5754,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",94,6114,94%,94% reported,edison,10,unknown,,3380,,,4455,1190,21,16,20,12,11,5,8,2,14,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:40Z,56.74314,R+57,Hagerty +57,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47035,Cumberland,30912,21983,24,24,Released as a separate subtotal as first report of the night,96,32279,96%,96% reported,edison,10,unknown,,21382,,,24412,5908,140,65,84,76,49,44,50,32,52,16771,4846,88,42,55,41,33,27,29,25,26,2021-03-06T23:04:01Z,59.86025,R+60,Hagerty +60,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
