fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
48001,Anderson,19072,14360,23,23,Released as a precinct as first report of the night,99,19227,99%,99% reported,edison,10,unknown,,15380,,,14943,3792,249,88,0,11036,3089,168,67,0,2021-02-22T19:58:12Z,58.46791,R+58,Cornyn +58,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48003,Andrews,5800,4734,5,5,Released as a precinct as first report of the night,99,5863,99%,99% reported,edison,10,unknown,,4805,,,4894,779,107,20,,4005,642,73,14,,2020-11-27T13:43:52Z,70.94828,R+71,Cornyn +71,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48005,Angelina,34355,28453,43,43,Released as a precinct as first report of the night,99,34574,99%,99% reported,edison,10,unknown,,28954,,,24962,8771,461,161,0,20639,7361,335,118,0,2021-02-22T19:58:25Z,47.12851,R+47,Cornyn +47,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48007,Aransas,12164,10900,6,6,Released as a precinct as first report of the night,99,12290,99%,99% reported,edison,10,unknown,,10783,,,9189,2729,178,68,0,8227,2479,140,54,0,2021-02-22T19:58:36Z,53.10753,R+53,Cornyn +53,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48009,Archer,4724,3581,12,12,Released as a precinct as first report of the night,98,4796,98%,98% reported,edison,10,unknown,,2737,,,4178,467,65,14,0,3165,368,35,13,0,2021-02-22T19:58:50Z,78.55631,R+79,Cornyn +79,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48011,Armstrong,1099,839,8,8,Released as a precinct as first report of the night,99,1112,99%,99% reported,edison,10,unknown,,777,,,1025,64,5,5,0,779,51,5,4,0,2021-02-22T19:59:06Z,87.44313,R+87,Cornyn +87,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48013,Atascosa,17896,14598,25,25,Released as a precinct as first report of the night,99,18118,99%,99% reported,edison,10,all,,10647,,,11906,5588,258,142,2,9734,4589,188,87,0,2020-12-11T21:42:22Z,35.30398,R+35,Cornyn +35,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48015,Austin,14481,11498,18,18,Released as a precinct as first report of the night,99,14554,99%,99% reported,edison,10,unknown,,9966,,,11454,2752,215,57,3,9047,2260,153,38,0,2021-02-22T19:59:21Z,60.09254,R+60,Cornyn +60,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48017,Bailey,1822,1266,5,5,Released as a precinct as first report of the night,98,1860,98%,98% reported,edison,10,unknown,,1464,,,1400,383,28,11,,1016,233,12,5,,2021-02-22T20:00:35Z,55.81778,R+56,Cornyn +56,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48019,Bandera,12537,10936,11,11,Released as a precinct as first report of the night,99,12715,99%,99% reported,edison,10,unknown,,10011,,,9957,2291,234,55,0,8619,2101,179,37,0,2021-02-22T20:00:46Z,61.147,R+61,Cornyn +61,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48021,Bastrop,36506,31197,23,23,Released as a precinct as first report of the night,100,36665,100%,100% reported,edison,10,all,,25791,,,20468,15071,757,208,2,16975,13505,561,156,0,2020-12-11T21:42:45Z,14.78387,R+15,Cornyn +15,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48023,Baylor,1678,1355,5,5,Released as a precinct as first report of the night,99,1702,99%,99% reported,edison,10,unknown,,1554,,,1462,177,30,9,,1196,137,18,4,,2021-02-22T19:59:44Z,76.57926,R+77,Cornyn +77,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
