fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_capitos,results_swearenginp,results_morand,results_absentee_capitos,results_absentee_swearenginp,results_absentee_morand,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
54001,Barbour,6618,0,13,13,Merged into voters' home precincts and released with cumulative results,99,6677,99%,99% reported,edison,10,unknown,,2032,,,5096,1331,191,0,0,0,2021-01-28T14:45:46Z,56.8903,R+57,Capito +57,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54003,Berkeley,50812,0,66,66,Merged into voters' home precincts and released with cumulative results,99,51535,99%,99% reported,edison,10,unknown,,15549,,,34162,15197,1453,0,0,0,2021-01-28T14:19:26Z,37.32386,R+37,Capito +37,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54005,Boone,8867,0,26,26,Other,98,9012,98%,98% reported,edison,10,unknown,,2061,,,6674,2016,177,0,0,0,2021-01-28T14:47:19Z,52.53186,R+53,Capito +53,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54007,Braxton,5547,0,18,18,Merged into voters' home precincts and released with cumulative results,98,5664,98%,98% reported,edison,10,unknown,,2472,,,4006,1395,146,0,0,0,2021-01-28T14:19:49Z,47.07049,R+47,Capito +47,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54009,Brooke,10365,0,22,22,Merged into voters' home precincts and released with cumulative results,97,10656,97%,97% reported,edison,10,some,,3091,,,7355,2699,311,0,0,0,2021-01-28T14:45:51Z,44.92041,R+45,Capito +45,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54011,Cabell,36723,0,71,71,None,98,37360,98%,98% reported,edison,10,unknown,,13914,,,22880,12979,864,0,0,0,2021-01-28T14:47:25Z,26.9613,R+27,Capito +27,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54013,Calhoun,2888,0,10,10,Merged into voters' home precincts and released with cumulative results,97,2971,97%,97% reported,edison,10,unknown,,965,,,2276,537,75,0,0,0,2021-01-28T14:20:19Z,60.21468,R+60,Capito +60,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54015,Clay,3334,0,11,11,Merged into voters' home precincts and released with cumulative results,99,3365,99%,99% reported,edison,10,unknown,,1368,,,2680,575,79,0,0,0,2021-01-28T14:20:27Z,63.13737,R+63,Capito +63,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54017,Doddridge,3024,0,12,12,Merged into voters' home precincts and released with cumulative results,98,3101,98%,98% reported,edison,10,unknown,,1440,,,2507,415,102,0,0,0,2021-01-28T14:20:34Z,69.17989,R+69,Capito +69,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54019,Fayette,16460,0,37,37,Merged into voters' home precincts and released with cumulative results,98,16862,98%,98% reported,edison,10,unknown,,4426,,,11158,4938,364,0,0,0,2021-01-28T14:47:31Z,37.78858,R+38,Capito +38,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54021,Gilmer,2593,0,10,10,Other,97,2662,97%,97% reported,edison,10,unknown,,1074,,,1939,586,68,0,0,0,2021-01-28T14:20:55Z,52.17894,R+52,Capito +52,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54023,Grant,5231,0,15,15,Merged into voters' home precincts and released with cumulative results,95,5509,95%,95% reported,edison,10,unknown,,2250,,,4544,534,153,0,0,0,2021-01-28T14:21:03Z,76.65838,R+77,Capito +77,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54025,Greenbrier,15621,0,29,29,Other,99,15850,99%,99% reported,edison,10,all,,5698,,,11042,4299,280,0,0,0,2021-01-28T14:47:38Z,43.16625,R+43,Capito +43,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
54027,Hampshire,9800,0,24,24,None,97,10086,97%,97% reported,edison,10,all,,2597,,,7764,1764,272,0,0,0,2021-01-28T14:21:21Z,61.22449,R+61,Capito +61,republican,capitos,west-virginia,2021-05-02T18:38:44.620225Z
